q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.4239,-0.4789,0.4911,-0.5912,0.010374364,-99.02722,163.87836,175.80292,0.1455,0.0546,1
0.424,-0.4789,0.4911,-0.5912,0.01619119,-99.02105,163.89133,175.78769,0.1372,0.0502,1
0.424,-0.4788,0.4911,-0.5912,0.01619119,-99.01594,163.90387,175.77434,0.1459,0.0532,1
0.424,-0.4788,0.4911,-0.5912,0.01619119,-99.01594,163.90387,175.77434,0.1455,0.0561,1
0.424,-0.4788,0.4911,-0.5912,0.21154784,-99.01594,163.90387,175.77434,0.1459,0.0522,1
0.4229,-0.478,0.4915,-0.5924,0.20072854,-99.08355,163.81851,175.75291,0.1328,0.0556,1
0.4228,-0.4782,0.4915,-0.5923,0.13414656,-99.094475,163.78699,175.80646,0.1386,0.0566,1
0.4231,-0.4786,0.4911,-0.592,0.29817262,-99.104774,163.75949,175.79266,0.1323,0.0493,1
0.4248,-0.4805,0.4893,-0.5908,0.8405433,-99.14243,163.6588,175.67265,0.1582,0.0551,1
0.4246,-0.4841,0.486,-0.5907,0.96017486,-99.53664,162.89177,175.72665,0.1601,0.0571,1
0.4244,-0.485,0.4854,-0.5907,0.94146484,-99.63207,162.69928,175.79175,0.1582,0.0527,1
0.4241,-0.4849,0.4855,-0.5909,0.90850097,-99.65025,162.66882,175.81557,0.1508,0.0371,1
0.424,-0.4847,0.4857,-0.591,0.8837013,-99.63933,162.69232,175.82123,0.1484,0.0458,1
0.4239,-0.4845,0.4858,-0.5911,0.7806563,-99.63456,162.70686,175.81255,0.143,0.04,1
0.4235,-0.4837,0.4863,-0.5916,0.77405137,-99.61469,162.76755,175.78043,0.1523,0.0625,1
0.4236,-0.4835,0.4862,-0.5918,0.7789534,-99.61513,162.78375,175.70064,0.1606,0.0703,1
0.4237,-0.4827,0.4857,-0.5928,0.7892032,-99.65214,162.7879,175.38988,0.1606,0.0742,1
0.4236,-0.4823,0.4855,-0.5933,0.835197,-99.676834,162.77518,175.26465,0.1577,0.0869,1
0.4232,-0.4814,0.4852,-0.5946,0.8561696,-99.7434,162.72672,175.0107,0.1489,0.0917,1
0.4229,-0.4809,0.4852,-0.5952,0.8870707,-99.76859,162.71266,174.91986,0.142,0.0869,1
0.4226,-0.4804,0.4852,-0.5958,0.9111817,-99.79377,162.69878,174.82903,0.1474,0.08,1
0.4223,-0.4799,0.4853,-0.5963,0.92669106,-99.80757,162.7002,174.76434,0.1386,0.0756,1
0.4221,-0.4796,0.4854,-0.5966,1.0044867,-99.814705,162.70206,174.73442,0.1347,0.0771,1
0.4223,-0.4798,0.4847,-0.5969,1.0456865,-99.87059,162.62212,174.5938,0.1269,0.0834,1
0.4228,-0.4802,0.4841,-0.5968,1.1020021,-99.89023,162.58952,174.49474,0.1347,0.0942,1
0.4233,-0.4805,0.4834,-0.5967,1.200359,-99.91056,162.56049,174.36752,0.1372,0.1137,1
0.4238,-0.4807,0.4825,-0.5969,1.3475541,-99.95321,162.5075,174.16216,0.1489,0.1123,1
0.4243,-0.4808,0.4813,-0.5974,1.4919316,-100.02369,162.42184,173.86328,0.1601,0.1201,1
0.4248,-0.4808,0.4802,-0.598,1.8263563,-100.08736,162.35144,173.553,0.163,0.1201,1
0.4255,-0.4804,0.4778,-0.5997,1.8985763,-100.248116,162.17473,172.83247,0.1757,0.1215,1
0.4254,-0.4802,0.4774,-0.6003,2.059168,-100.298096,162.11554,172.68951,0.1733,0.1074,1
0.4246,-0.4796,0.4767,-0.6019,2.139619,-100.44204,161.93202,172.43544,0.1552,0.1157,1
0.4241,-0.4793,0.4764,-0.6027,2.2414904,-100.51778,161.8327,172.33109,0.1411,0.1166,1
0.4236,-0.4792,0.4759,-0.6035,2.3628633,-100.61565,161.6916,172.22287,0.1274,0.1118,1
0.4232,-0.4793,0.4752,-0.6043,2.4959006,-100.72884,161.52148,172.09515,0.1333,0.124,1
0.4226,-0.4796,0.4744,-0.6051,6.1477885,-100.8719,161.2934,172.00923,0.143,0.1318,1
0.3879,-0.4734,0.4794,-0.6288,6.155,-103.75338,156.86717,174.89183,0.0454,0.0854,1
0.3877,-0.4753,0.4781,-0.6285,6.1172757,-103.92502,156.51224,175.03448,0.0463,0.0756,1
0.3877,-0.4773,0.4771,-0.6278,6.0427136,-104.0483,156.2111,175.24902,0.0571,0.0659,1
0.3879,-0.4791,0.4764,-0.6268,5.9576626,-104.11423,155.9974,175.48076,0.0458,0.0434,1
0.3883,-0.4807,0.4758,-0.6258,3.165524,-104.15159,155.84285,175.66312,0.0268,0.0322,1
0.4211,-0.4912,0.4687,-0.6013,2.91735,-101.72445,159.38834,173.37387,0.2373,0.143,1
0.4212,-0.4892,0.4704,-0.6015,1.9001096,-101.5232,159.78494,173.33008,0.2216,0.1279,1
0.4196,-0.4759,0.4821,-0.6041,1.891655,-100.37668,162.10004,173.26135,0.1064,0.0454,1
0.4196,-0.473,0.4844,-0.6044,7.207875,-100.104706,162.64412,173.1765,0.0888,0.0307,1
0.4089,-0.43,0.5179,-0.6161,8.516356,-97.18934,168.89516,172.31989,-0.0239,0.0229,1
0.4043,-0.4219,0.5243,-0.6192,9.109953,-96.84673,169.7045,172.39342,-0.0385,0.0253,1
0.4021,-0.4183,0.5272,-0.6206,9.63231,-96.70138,170.04813,172.44783,-0.0517,0.02,1
0.4001,-0.4152,0.5299,-0.6217,10.087007,-96.563805,170.35455,172.54367,-0.0551,0.0024,1
0.3982,-0.4126,0.5324,-0.6225,10.469332,-96.43972,170.6111,172.69617,-0.0649,-0.0019,1
0.3965,-0.4105,0.5346,-0.6231,11.898417,-96.334854,170.81534,172.86853,-0.0756,-0.0087,1
0.3832,-0.4067,0.5417,-0.6278,11.858049,-96.74279,169.91222,174.72974,-0.0595,-0.0083,1
0.3815,-0.408,0.5406,-0.6289,11.687789,-97.03666,169.36642,174.93568,-0.0605,-0.0292,1
0.3803,-0.4102,0.5391,-0.6295,11.403035,-97.340866,168.76524,175.19543,-0.0439,-0.0419,1
0.3799,-0.4129,0.5372,-0.6296,11.088931,-97.62031,168.19966,175.40323,0.0141,-0.041,1
0.3799,-0.4156,0.5352,-0.6295,10.876269,-97.87232,167.69,175.55493,0.0766,-0.0029,1
0.3794,-0.4178,0.5333,-0.63,10.154201,-98.15802,167.1551,175.66582,0.143,0.0429,1
0.3498,-0.4667,0.5052,-0.636,9.914996,-104.11132,154.31656,184.03589,0.4013,0.0502,1
0.352,-0.4664,0.5043,-0.6357,14.548058,-104.04959,154.60356,183.46469,0.4028,0.0678,1
0.3226,-0.453,0.502,-0.6622,15.221003,-106.656654,151.45363,184.43254,0.2343,0.145,1
0.3162,-0.4546,0.5022,-0.664,17.263775,-107.06965,150.3698,185.96301,0.1743,0.0903,1
0.2951,-0.4718,0.493,-0.6687,17.595499,-109.397835,144.69551,192.19415,0.2011,0.0527,1
0.292,-0.4755,0.4902,-0.6694,17.986303,-109.87825,143.63852,193.18497,0.2421,0.0727,1
0.2887,-0.4788,0.4875,-0.6705,22.60499,-110.36424,142.6171,194.15025,0.2734,0.0874,1
0.2528,-0.4868,0.4761,-0.6872,24.866507,-113.29919,136.45058,202.59161,0.3427,0.1083,1
0.2343,-0.48,0.4807,-0.6953,25.51373,-113.31418,135.34038,206.68613,0.249,0.1933,1
0.2289,-0.4779,0.4825,-0.6973,26.1399,-113.21365,135.05618,207.94933,0.2319,0.1748,1
0.2236,-0.4761,0.4842,-0.699,26.738287,-113.09096,134.74016,209.25221,0.2148,0.1523,1
0.2186,-0.4745,0.4857,-0.7007,27.279512,-112.979004,134.43045,210.48073,0.1972,0.1523,1
0.2141,-0.473,0.4869,-0.7022,28.199263,-112.880394,134.15579,211.56516,0.1738,0.1567,1
0.2061,-0.4716,0.4891,-0.7041,28.488743,-112.61677,133.49884,213.78464,0.0971,0.1518,1
0.2031,-0.4722,0.4902,-0.7038,28.623503,-112.40441,133.09677,214.911,0.0844,0.1386,1
0.2011,-0.4739,0.4911,-0.7025,28.568027,-112.15862,132.64175,215.98363,0.0703,0.0976,1
0.2004,-0.4769,0.492,-0.7001,28.279585,-111.8613,132.14868,216.9649,0.0732,0.0493,1
0.2014,-0.4815,0.4924,-0.6964,27.030643,-111.56714,131.60681,217.77692,0.1274,-0.0078,1
0.2091,-0.4947,0.4908,-0.686,23.443972,-111.184425,130.56732,218.48808,0.3208,-0.0468,1
0.2393,-0.5245,0.4759,-0.6641,22.76147,-111.990814,129.6078,215.44975,0.4589,0.0253,1
0.246,-0.5292,0.4724,-0.6604,22.00269,-112.2429,129.6812,214.29778,0.4145,0.0361,1
0.2536,-0.5338,0.4689,-0.6563,21.143139,-112.46097,129.8902,212.8825,0.3916,0.0454,1
0.2622,-0.5382,0.4658,-0.6515,20.212732,-112.56951,130.28256,211.23581,0.374,0.0224,1
0.2717,-0.5425,0.4628,-0.6461,17.087694,-112.59601,130.82944,209.38773,0.4008,-0.0302,1
0.3073,-0.5551,0.4521,-0.6268,16.138752,-112.30043,133.57132,202.09564,0.4653,-0.2089,1
0.3211,-0.5592,0.4469,-0.62,15.3066225,-112.16321,134.7448,199.05484,0.4829,-0.2163,1
0.3353,-0.5623,0.4411,-0.6137,3.81217,-111.978195,136.08218,195.67467,0.5009,-0.2026,1
0.4376,-0.4561,0.4803,-0.608,4.2150292,-98.341034,166.35661,167.29633,0.1376,0.0205,1
0.4382,-0.4495,0.4865,-0.6074,4.7640224,-97.57404,167.82155,167.35991,0.1176,0.0166,1
0.4394,-0.4434,0.4926,-0.6062,5.3914075,-96.76665,169.3311,167.44139,0.1054,0.0004,1
0.4414,-0.4378,0.4984,-0.604,6.0748115,-95.894905,170.92023,167.5348,0.081,-0.0107,1
0.4442,-0.4327,0.504,-0.601,6.790121,-94.96415,172.58807,167.63681,0.0419,-0.0307,1
0.4475,-0.428,0.5089,-0.5979,7.509599,-94.0519,174.21751,167.634,0.0317,-0.0537,1
0.4513,-0.4236,0.5128,-0.5947,8.235672,-93.16795,175.7894,167.48517,0.0312,-0.0742,1
0.4557,-0.4194,0.5158,-0.5918,8.907846,-92.315285,177.29929,167.14711,0.0234,-0.0844,1
0.4601,-0.4157,0.5181,-0.589,14.149923,-91.531296,178.67294,166.7828,0.0346,-0.0981,1
0.4827,-0.382,0.5375,-0.5762,14.561256,-86.31339,187.96646,164.11678,0.0878,0.0766,1
0.4806,-0.3779,0.5412,-0.5772,14.830466,-86.08963,188.51096,164.15938,0.0478,0.0888,1
0.4777,-0.3747,0.5442,-0.5789,14.968445,-86.04608,188.74037,164.22807,0.0317,0.0952,1
0.4745,-0.3725,0.5463,-0.5809,14.764592,-86.141914,188.70781,164.31046,0.0292,0.0966,1
0.4646,-0.3718,0.5496,-0.5862,14.702126,-86.90913,187.64774,165.03857,0.1103,0.1113,1
0.4615,-0.372,0.5509,-0.5872,14.712601,-87.122536,187.34506,165.42265,0.1547,0.1054,1
0.4581,-0.3716,0.5525,-0.5888,14.815663,-87.33719,187.05386,165.74312,0.1684,0.1298,1
0.453,-0.37,0.5542,-0.592,15.025135,-87.67615,186.59438,165.9529,0.1381,0.1713,1
0.4458,-0.3675,0.5562,-0.5972,15.366331,-88.198006,185.87169,166.12402,0.0668,0.1865,1
0.4368,-0.3644,0.5583,-0.6038,15.78171,-88.87669,184.91614,166.31532,-0.0078,0.1816,1
0.4267,-0.3617,0.5605,-0.6105,16.191397,-89.6478,183.78833,166.71994,-0.0625,0.1557,1
0.3665,-0.383,0.5687,-0.6288,15.55824,-94.79856,172.99928,176.83572,-0.0595,0.1474,1
0.3649,-0.3895,0.5655,-0.6285,14.674542,-95.36198,171.67255,177.70378,-0.083,0.0786,1
