q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.7656,-0.6369,-0.0478,0.0759,0.034169678,-79.65019,182.27351,185.3836,-0.019,0.1865,51
0.7658,-0.6367,-0.0478,0.076,0.054666903,-79.61805,182.27982,185.4005,-0.0229,0.1845,51
0.7659,-0.6366,-0.0477,0.0761,0.07217973,-79.601845,182.3039,185.4288,-0.0239,0.1948,51
0.766,-0.6365,-0.0476,0.0761,0.10184765,-79.58543,182.3157,185.44225,-0.0214,0.1884,51
0.7661,-0.6363,-0.0475,0.0762,0.120176,-79.560394,182.33829,185.47147,-0.0405,0.1835,51
0.7662,-0.6362,-0.0474,0.0762,0.13599391,-79.54397,182.3501,185.48486,-0.0385,0.1855,51
0.7662,-0.6361,-0.0473,0.0763,0.14623626,-79.53508,182.37566,185.51308,-0.0375,0.1855,51
0.7663,-0.6361,-0.0473,0.0764,0.17363206,-79.527916,182.38635,185.528,-0.0361,0.1787,51
0.7664,-0.636,-0.0472,0.0766,0.18619478,-79.51186,182.42258,185.5711,-0.0307,0.187,51
0.7664,-0.6359,-0.0472,0.0767,0.20717202,-79.503235,182.43332,185.58687,-0.0361,0.1831,51
0.7665,-0.6358,-0.0473,0.0769,0.22073671,-79.48771,182.43993,185.60513,-0.0273,0.1894,51
0.7665,-0.6357,-0.0473,0.077,0.23736331,-79.47907,182.45064,185.6209,-0.0351,0.1879,51
0.7666,-0.6356,-0.0474,0.0771,0.25131968,-79.46337,182.44502,185.6243,-0.0283,0.1831,51
0.7666,-0.6356,-0.0474,0.0773,0.26381725,-79.463745,182.46942,185.654,-0.0327,0.1914,51
0.7666,-0.6355,-0.0475,0.0774,0.290827,-79.45539,182.46533,185.65738,-0.0244,0.1923,51
0.7667,-0.6354,-0.0475,0.0776,0.29861602,-79.43958,182.48668,185.68803,-0.0278,0.1914,51
0.7667,-0.6354,-0.0475,0.0777,0.30556202,-79.439766,182.49886,185.70288,-0.0244,0.187,51
0.7667,-0.6354,-0.0476,0.0778,0.3138196,-79.44024,182.49626,185.70534,-0.0229,0.1845,51
0.7667,-0.6354,-0.0476,0.0779,0.322274,-79.44042,182.50845,185.7202,-0.0283,0.187,51
0.7667,-0.6354,-0.0476,0.078,0.3370516,-79.440605,182.52065,185.73505,-0.0312,0.1948,51
0.7667,-0.6353,-0.0476,0.0781,0.3370516,-79.43196,182.53133,185.75082,-0.0249,0.1943,51
0.7667,-0.6353,-0.0476,0.0781,0.3370516,-79.43196,182.53133,185.75082,-0.0317,0.1889,51
0.7667,-0.6353,-0.0476,0.0781,0.3370516,-79.43196,182.53133,185.75082,-0.0249,0.1899,51
0.7667,-0.6353,-0.0476,0.0781,0.34570962,-79.43196,182.53133,185.75082,-0.0258,0.185,51
0.7667,-0.6353,-0.0476,0.0782,0.3545242,-79.432144,182.5435,185.76567,-0.0297,0.1904,51
0.7667,-0.6353,-0.0476,0.0783,0.36473718,-79.43232,182.5557,185.78052,-0.0288,0.1953,51
0.7668,-0.6352,-0.0476,0.0783,0.36563945,-79.41615,182.5526,185.78146,-0.0278,0.1894,51
0.7668,-0.6352,-0.0475,0.0783,0.36563945,-79.415855,182.56738,185.79385,-0.0273,0.1894,51
0.7668,-0.6352,-0.0475,0.0783,0.36689922,-79.415855,182.56738,185.79385,-0.0302,0.1884,51
0.7668,-0.6352,-0.0474,0.0783,0.36689922,-79.41556,182.58217,185.80624,-0.0312,0.1914,51
0.7668,-0.6352,-0.0474,0.0783,0.3790451,-79.41556,182.58217,185.80624,-0.0224,0.1933,51
0.7669,-0.6351,-0.0473,0.0783,0.3790451,-79.39908,182.59386,185.81956,-0.0297,0.1958,51
0.7669,-0.6351,-0.0473,0.0783,0.39181748,-79.39908,182.59386,185.81956,-0.0263,0.1914,51
0.767,-0.635,-0.0472,0.0783,0.3860885,-79.3826,182.60555,185.83287,-0.0317,0.1923,51
0.767,-0.635,-0.0471,0.0782,0.38862944,-79.382126,182.60815,185.8304,-0.0214,0.1967,51
0.767,-0.635,-0.047,0.0782,0.3871075,-79.38182,182.62294,185.84279,-0.0317,0.1992,51
0.767,-0.635,-0.0468,0.0781,0.38727042,-79.381035,182.64034,185.8527,-0.0356,0.1875,51
0.767,-0.635,-0.0466,0.078,0.39398253,-79.38023,182.65773,185.86263,-0.04,0.1899,51
0.7671,-0.635,-0.0464,0.0779,0.40823832,-79.37209,182.67354,185.87254,-0.0458,0.1977,51
