q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.4239,-0.4789,0.4911,-0.5912,0.1455,-1.0004,0.0546,0.021,0.001,0.006,-8.25,-5.087,29.099,1
0.424,-0.4789,0.4911,-0.5912,0.1372,-1.0009,0.0502,0.013,0.0,0.002,-8.25,-5.087,29.099,1
0.424,-0.4788,0.4911,-0.5912,0.1459,-1.0112,0.0532,0.013,0.006,0.002,-8.25,-5.087,29.099,1
0.424,-0.4788,0.4911,-0.5912,0.1459,-1.0043,0.0522,0.003,0.008,-0.005,-8.25,-5.087,29.099,1
0.4229,-0.478,0.4915,-0.5924,0.1328,-0.997,0.0556,0.009,0.025,-0.025,-7.8,-4.637,29.549,1
0.4231,-0.4786,0.4911,-0.592,0.1323,-0.9941,0.0493,-0.001,-0.078,-0.019,-5.85,-4.037,27.899,1
0.4248,-0.4805,0.4893,-0.5908,0.1582,-1.0,0.0551,0.011,-0.098,-0.011,-6.15,-5.687,28.649,1
0.4244,-0.485,0.4854,-0.5907,0.1582,-0.997,0.0527,0.021,-0.077,-0.02,-8.4,-6.737,28.199,1
0.4241,-0.4849,0.4855,-0.5909,0.1508,-1.0058,0.0371,-0.004,0.05,0.005,-7.05,-5.087,29.849,1
0.424,-0.4847,0.4857,-0.591,0.1484,-0.996,0.0458,0.004,0.052,0.001,-7.05,-5.087,29.849,1
0.4239,-0.4845,0.4858,-0.5911,0.143,-1.0039,0.04,0.011,0.052,0.001,-7.05,-5.087,29.849,1
0.4235,-0.4837,0.4863,-0.5916,0.1523,-1.0166,0.0625,0.007,0.024,0.013,-7.05,-5.087,29.849,1
0.4226,-0.4804,0.4852,-0.5958,0.1474,-0.9956,0.08,0.062,0.154,-0.035,-7.05,-5.087,29.849,1
0.4221,-0.4796,0.4854,-0.5966,0.1347,-0.9936,0.0771,0.029,0.104,-0.034,-7.05,-5.087,29.849,1
0.4223,-0.4798,0.4847,-0.5969,0.1269,-1.0283,0.0834,0.042,-0.119,-0.039,-7.65,-5.237,28.649,1
0.4228,-0.4802,0.4841,-0.5968,0.1347,-1.0283,0.0942,0.057,-0.16,-0.041,-7.65,-5.237,28.649,1
