q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.6669,-0.3307,0.625,-0.2345,-0.7319,-0.79,0.1347,1.048,0.489,-0.767,29.849,10.063,0.449,48
0.6581,-0.3209,0.6306,-0.2569,-0.7158,-0.7416,-0.0883,-0.732,-0.992,0.147,10.349,-0.887,4.949,48
0.4712,-0.5295,0.4596,-0.5349,0.1049,-0.7045,0.0678,-0.079,0.854,1.448,-23.85,31.649,-15.137,2
0.2357,-0.1548,0.6307,-0.7229,0.1875,-0.6528,0.4262,0.189,-1.326,-0.688,16.499,29.999,20.249,38
0.0491,0.0145,-0.5879,0.8072,0.041,-0.9653,0.3017,-0.023,-0.172,-0.142,-8.537,0.164,26.099,49
0.7563,-0.642,0.1121,-0.0556,0.7905,-1.3618,0.1181,-0.015,-1.235,-1.809,-31.937,-13.487,17.249,17
0.4684,-0.4289,0.5203,-0.5707,0.207,-1.0004,0.0581,-0.079,-0.612,0.682,-22.95,0.313,-16.337,28
0.5017,-0.5438,-0.33,0.5861,0.1137,-0.7304,0.0156,0.341,-0.96,1.864,-10.778,2.85,13.585,23
0.1795,-0.4504,-0.5277,0.6974,-0.2509,-1.0922,-0.0952,-0.982,1.019,-0.037,28.64,14.149,-23.297,12
0.0191,-0.106,-0.6492,0.7528,-0.3813,-0.9721,0.1137,0.76,1.845,-0.581,-15.737,2.863,-13.2,40
0.4684,-0.3615,0.5633,-0.5766,-0.1435,-0.9975,0.082,0.02,-0.075,-0.021,6.149,-17.237,-4.95,42
0.1915,-0.2483,-0.6558,0.6866,0.0268,-1.0034,0.083,-0.609,-1.81,0.666,9.299,13.813,-4.35,40
0.3706,-0.3771,0.4286,-0.7325,0.1191,-1.0761,0.4682,-0.162,-0.325,-0.179,-23.537,-13.487,-29.537,43
0.2306,-0.1261,0.6429,-0.7193,-0.1899,-0.8759,0.4946,0.254,-1.056,-1.215,23.249,29.999,20.999,38
0.246,-0.2246,-0.5999,0.7273,-0.0092,-1.3574,0.0683,0.287,-2.512,1.733,-32.237,-21.137,1.649,41
0.7177,-0.6746,0.172,0.0125,-0.2192,-0.8823,-0.0742,0.074,0.067,0.297,6.149,10.063,-16.637,19
0.7417,-0.6412,0.1865,-0.0611,0.1616,-0.8896,-0.1347,0.254,-0.047,0.352,-4.35,9.613,-10.337,17
0.4169,-0.3198,-0.5284,0.6668,0.1049,-0.978,0.0991,-0.368,0.768,-0.497,-16.429,17.523,-10.199,22
0.7868,-0.5925,0.1687,0.0357,-0.2861,-1.2729,0.2197,-0.716,-0.288,-0.87,-21.137,-7.337,-5.55,37
0.5196,-0.4097,0.5184,-0.5414,-0.1118,-1.1215,0.2221,0.006,-0.152,0.528,10.949,-14.837,-29.237,30
0.1951,-0.1533,0.6634,-0.7058,-0.0039,-1.332,0.291,0.09,-0.841,0.181,3.299,31.649,20.999,38
0.7718,-0.4157,0.2574,-0.4064,0.0922,-0.8559,0.4555,-0.492,1.116,-0.911,32.549,-17.687,21.599,39
0.3187,-0.169,0.6115,-0.7041,-0.1562,-0.9902,0.2001,0.008,-0.012,0.004,9.292,-20.082,25.317,45
0.5274,-0.4046,-0.5806,0.4699,-0.1352,-1.1396,-0.0151,-0.169,0.521,-0.228,-26.535,18.417,12.819,16
0.677,-0.4794,0.5226,-0.1965,-0.5996,-0.8222,-0.1293,-0.128,-0.205,0.018,30.449,-26.537,0.299,48
0.3953,-0.3113,-0.5293,0.6829,-0.1953,-0.9135,0.1733,0.731,-0.589,-1.475,2.249,-8.837,19.949,41
0.5253,-0.5952,-0.3016,0.5278,-0.0224,-0.9843,0.1914,-0.203,0.769,-1.449,20.271,18.3,-5.464,23
0.3902,-0.2823,0.6891,-0.5413,-0.3706,-0.9145,0.0126,-0.007,-0.345,-0.48,-11.337,-16.897,-9.981,34
0.6854,-0.7049,0.0497,0.1754,-0.3217,-0.9648,-0.0014,0.003,0,0.005,27.331,-14.84,25.643,26
0.2047,-0.0423,0.6692,-0.713,-0.3813,-0.5087,0.0429,0.18,1.198,-0.945,-16.326,-14.526,-10.124,11
