q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.424,-0.4789,0.4911,-0.5912,0.01619119,-99.02105,163.89133,175.78769,0.1372,-1.0009,0.0502,0.013,0.0,0.002,-8.25,-5.087,29.099,1
0.424,-0.4788,0.4911,-0.5912,0.01619119,-99.01594,163.90387,175.77434,0.1459,-1.0112,0.0532,0.013,0.006,0.002,-8.25,-5.087,29.099,1
0.424,-0.4788,0.4911,-0.5912,0.01619119,-99.01594,163.90387,175.77434,0.1455,-1.0,0.0561,0.002,0.007,-0.004,-8.25,-5.087,29.099,1
0.4229,-0.478,0.4915,-0.5924,0.20072854,-99.08355,163.81851,175.75291,0.1328,-0.997,0.0556,0.009,0.025,-0.025,-7.8,-4.637,29.549,1
0.4228,-0.4782,0.4915,-0.5923,0.13414656,-99.094475,163.78699,175.80646,0.1386,-1.0063,0.0566,0.005,-0.001,0.005,-5.85,-4.037,27.899,1
0.4231,-0.4786,0.4911,-0.592,0.29817262,-99.104774,163.75949,175.79266,0.1323,-0.9941,0.0493,-0.001,-0.078,-0.019,-5.85,-4.037,27.899,1
0.4248,-0.4805,0.4893,-0.5908,0.8405433,-99.14243,163.6588,175.67265,0.1582,-1.0,0.0551,0.011,-0.098,-0.011,-6.15,-5.687,28.649,1
0.4246,-0.4841,0.486,-0.5907,0.96017486,-99.53664,162.89177,175.72665,0.1601,-1.0063,0.0571,-0.007,-0.055,-0.014,-8.25,-5.387,29.849,1
0.4244,-0.485,0.4854,-0.5907,0.94146484,-99.63207,162.69928,175.79175,0.1582,-0.997,0.0527,0.021,-0.077,-0.02,-8.4,-6.737,28.199,1
0.424,-0.4847,0.4857,-0.591,0.8837013,-99.63933,162.69232,175.82123,0.1484,-0.996,0.0458,0.004,0.052,0.001,-7.05,-5.087,29.849,1
0.4239,-0.4845,0.4858,-0.5911,0.7806563,-99.63456,162.70686,175.81255,0.143,-1.0039,0.04,0.011,0.052,0.001,-7.05,-5.087,29.849,1
0.4235,-0.4837,0.4863,-0.5916,0.77405137,-99.61469,162.76755,175.78043,0.1523,-1.0166,0.0625,0.007,0.024,0.013,-7.05,-5.087,29.849,1
0.4236,-0.4835,0.4862,-0.5918,0.7789534,-99.61513,162.78375,175.70064,0.1606,-1.0073,0.0703,0.042,0.025,0.008,-7.05,-5.087,29.849,1
0.4237,-0.4827,0.4857,-0.5928,0.7892032,-99.65214,162.7879,175.38988,0.1606,-1.0092,0.0742,0.098,0.06,-0.038,-7.05,-5.087,29.849,1
0.4236,-0.4823,0.4855,-0.5933,0.835197,-99.676834,162.77518,175.26465,0.1577,-1.0063,0.0869,0.106,0.084,-0.054,-7.05,-5.087,29.849,1
