q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.7656,-0.6369,-0.0478,0.0759,0.034169678,-79.65019,182.27351,185.3836,-0.019,-0.9863,0.1865,0.038,-0.021,0.013,20.099,1.963,-3.45,51
0.7658,-0.6367,-0.0478,0.076,0.054666903,-79.61805,182.27982,185.4005,-0.0229,-0.9897,0.1845,0.039,-0.008,0.012,20.099,1.963,-3.45,51
0.7661,-0.6363,-0.0475,0.0762,0.120176,-79.560394,182.33829,185.47147,-0.0405,-0.9916,0.1835,0.035,0.01,0.015,20.099,1.963,-3.45,51
0.7662,-0.6362,-0.0474,0.0762,0.13599391,-79.54397,182.3501,185.48486,-0.0385,-0.9921,0.1855,0.031,0,0.017,20.099,1.963,-3.45,51
0.7662,-0.6361,-0.0473,0.0763,0.14623626,-79.53508,182.37566,185.51308,-0.0375,-0.9921,0.1855,0.027,-0.001,0.015,20.099,1.963,-3.45,51
0.7663,-0.6361,-0.0473,0.0764,0.17363206,-79.527916,182.38635,185.528,-0.0361,-0.9824,0.1787,0.027,-0.006,0.016,20.099,1.963,-3.45,51
0.7664,-0.636,-0.0472,0.0766,0.18619478,-79.51186,182.42258,185.5711,-0.0307,-0.9843,0.187,0.027,-0.016,0.022,20.099,1.963,-3.45,51
0.7664,-0.6359,-0.0472,0.0767,0.20717202,-79.503235,182.43332,185.58687,-0.0361,-0.9838,0.1831,0.023,-0.02,0.018,20.099,1.963,-3.45,51
0.7665,-0.6358,-0.0473,0.0769,0.22073671,-79.48771,182.43993,185.60513,-0.0273,-0.9833,0.1894,0.022,-0.023,0.012,20.099,1.963,-3.45,51
0.7665,-0.6357,-0.0473,0.077,0.23736331,-79.47907,182.45064,185.6209,-0.0351,-0.9819,0.1879,0.023,-0.029,0.015,20.099,1.963,-3.45,51
0.7666,-0.6356,-0.0474,0.0771,0.25131968,-79.46337,182.44502,185.6243,-0.0283,-0.9858,0.1831,0.016,-0.025,0.008,20.099,1.963,-3.45,51
0.7667,-0.6354,-0.0475,0.0776,0.29861602,-79.43958,182.48668,185.68803,-0.0278,-0.9951,0.1914,0.008,-0.025,0.012,20.099,1.963,-3.45,51
0.7667,-0.6354,-0.0475,0.0777,0.30556202,-79.439766,182.49886,185.70288,-0.0244,-0.9931,0.187,0.005,-0.02,0.014,20.099,1.963,-3.45,51
0.7667,-0.6354,-0.0476,0.0779,0.322274,-79.44042,182.50845,185.7202,-0.0283,-0.9936,0.187,0,-0.012,0.011,20.099,1.963,-3.45,51
0.7667,-0.6354,-0.0476,0.078,0.3370516,-79.440605,182.52065,185.73505,-0.0312,-0.9946,0.1948,0.007,-0.014,0.014,20.999,2.563,-3.3,51
0.7667,-0.6353,-0.0476,0.0781,0.3370516,-79.43196,182.53133,185.75082,-0.0317,-0.9956,0.1889,0.004,-0.005,0.006,20.999,2.563,-3.3,51
0.7667,-0.6353,-0.0476,0.0781,0.3370516,-79.43196,182.53133,185.75082,-0.0249,-0.9858,0.1899,0.001,0,0.005,20.999,2.563,-3.3,51
0.7667,-0.6353,-0.0476,0.0782,0.3545242,-79.432144,182.5435,185.76567,-0.0297,-0.9882,0.1904,0.003,-0.005,0.009,20.999,2.563,-3.3,51
0.7668,-0.6352,-0.0475,0.0783,0.36689922,-79.415855,182.56738,185.79385,-0.0302,-0.9936,0.1884,0.006,0,0.008,20.999,2.563,-3.3,51
0.7668,-0.6352,-0.0474,0.0783,0.36689922,-79.41556,182.58217,185.80624,-0.0312,-0.9858,0.1914,0.006,0.009,0.01,20.999,2.563,-3.3,51
