q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.4515,-0.4138,-0.5701,0.5475,9.134364,-86.65373,172.99033,182.44563,0.1074,-1.0732,-0.0009,-0.354,-0.046,-0.176,27.451,-14.569,17.769,16
0.6254,-0.6569,0.2147,-0.3621,20.9789,-95.28145,157.56125,157.89049,0.0532,-0.7866,-0.0405,0.305,0.962,0.349,1.31,-29.819,1.564,20
0.1533,-0.1974,0.5805,-0.7748,18.9091,-106.186775,168.29274,178.66934,0.1948,-0.7631,0.2905,-0.239,-1.093,0.715,-14.25,20.999,-8.237,25
0.7095,-0.4925,0.3141,-0.3939,8.3144,-75.16015,185.0183,156.58185,-0.0234,-0.9013,0.2148,0.301,-0.153,0.515,-14.4,-30.587,-1.487,21
0.712,-0.6909,0.1243,0.0132,7.397331,-85.43218,201.79257,200.67264,-0.1474,-0.7934,-0.081,0.099,-0.226,0.788,24.149,-14.387,-27.887,19
0.6423,-0.4048,0.4381,-0.481,8.65555,-74.53563,195.33406,155.43524,-0.1557,-1.0175,0.1845,-0.508,-0.656,0.307,11.174,-32.329,-22.976,4
0.5341,-0.2582,-0.546,0.5914,12.520998,-74.22434,155.32024,213.37613,0.0585,-1.0869,0.3393,-0.42,0.018,0.044,19.199,-6.137,-29.837,36
0.7845,-0.6044,0.1361,0.0231,13.388194,-72.5436,202.179,197.99486,0.0629,-1.0673,0.1865,-0.147,-0.726,-1.669,-21.137,-7.337,-5.55,37
0.3742,-0.0741,0.7109,-0.5907,19.806993,-67.734825,228.88731,150.75894,-0.5683,-0.8491,-0.0546,0.89,0.743,-0.29,16.079,2.377,-5.007,13
0.2965,-0.3233,0.5537,-0.7077,22.357422,-101.89269,167.47142,171.06514,-0.1337,-1.0839,0.187,0.19,0.179,0.253,16.349,-9.287,22.949,24
0.0386,0.0127,0.7382,-0.6732,17.2493,-84.39517,189.31537,172.59485,0.0102,-1.1049,-0.3579,-1.173,-0.176,-0.364,27.749,-31.037,-21.887,10
0.6258,-0.6934,0.2102,-0.2883,8.22969,-97.04387,163.6112,170.90424,0.2172,-0.7983,-0.0678,-0.02,-0.098,0.363,26.947,12.017,4.114,20
0.657,-0.4734,0.3927,-0.4358,6.0484996,-78.09567,189.50871,160.5481,-0.1694,-1.0961,0.3271,0.332,0.769,-0.594,-24.437,-14.837,20.999,32
0.1695,0.0075,-0.5742,0.8009,13.955656,-99.99816,162.4692,222.6862,-0.2094,-0.7558,0.2158,-0.11,0.348,-0.529,-13.337,-12.887,-27.887,49
0.3895,-0.3496,-0.4669,0.7127,9.864182,-100.9365,191.65112,214.37888,0.0327,-0.7563,0.4672,-0.79,-0.355,-0.713,-17.929,-4.513,-19.349,22
0.3663,-0.4119,0.3859,-0.7396,15.769024,-110.187546,153.04002,136.84262,0.2172,-0.8999,0.4916,-0.244,0.412,-0.463,29.849,-4.637,30.599,43
0.4262,-0.2819,-0.6218,0.5934,20.91349,-80.914085,159.24847,195.5558,-0.1777,-0.9331,0.1196,-0.022,0.236,-0.744,16.04,-15.537,24.689,12
0.4814,-0.4056,0.544,-0.5547,3.126804,-86.35117,187.8254,169.95259,0.0317,-0.6967,0.081,0.03,0.427,-1.843,2.549,27.749,-11.837,28
0.7872,-0.6158,0.0267,0.0119,6.870681,-75.92132,185.23692,184.76445,-0.041,-0.8935,0.2109,0.299,0.677,-0.554,-22.187,-2.237,-19.95,37
0.3653,-0.1222,0.6221,-0.6815,3.9247863,-81.02378,207.07863,143.23969,-0.1997,-0.9609,0.1362,-0.096,-0.008,-0.074,28.799,22.063,22.199,33
0.7023,-0.688,0.1064,-0.1482,12.458943,-89.25396,173.94743,172.99586,-0.1352,-1.3632,0.017,-0.144,-0.316,0.062,11.999,31.949,-11.537,19
0.4384,-0.4828,0.5026,-0.5673,10.639476,-96.314705,168.1044,178.44171,0.1215,-0.9926,0.0522,-0.211,1.63,-0.971,19.186,-7.487,3.013,2
0.4399,-0.389,0.4768,-0.6539,19.335373,-96.22708,171.78128,152.70715,0.0141,-1.1308,0.3696,-0.058,-0.146,0.149,-8.85,-30.137,-1.2,47
0.6461,-0.5882,0.2158,-0.4357,13.859929,-88.212746,158.21696,143.15219,0.4682,-1.0483,0.3598,-1.417,1.621,-0.256,-19.554,7.175,12.509,5
0.2464,-0.1341,0.6238,-0.7294,10.776019,-93.39046,190.77348,155.88882,0.0458,-0.9726,0.2285,0.32,0.661,-0.35,32.044,-25.94,2.254,45
0.0683,-0.2327,-0.6638,0.7074,20.199013,-93.36335,206.57393,153.1838,-0.0717,-0.7783,-0.0371,-0.256,-1.128,2.072,-27.887,1.363,7.649,40
0.3628,-0.1455,0.5985,-0.6992,8.916297,-84.658104,201.07114,142.43405,0.123,-1.1591,0.0747,0.193,-0.95,1.264,-20.722,-15.566,-7.364,35
0.5607,-0.4052,0.5265,-0.494,10.628812,-78.63277,199.31767,167.71849,-0.3593,-1.1953,-0.0175,0.023,-1.657,0.889,9.449,31.649,-12.887,30
0.8225,-0.5244,0.2092,0.0669,19.127563,-58.916794,213.8387,205.76457,-0.1357,-0.7685,0.1948,0.289,0.267,0.454,2.999,-10.037,31.799,50
0.3198,-0.2737,-0.5625,0.7114,22.485727,-97.84688,182.79146,199.92703,-0.0756,-0.9194,0.2153,-0.035,-0.031,-0.081,16.949,18.613,1.049,41
0.2166,-0.1096,0.6264,-0.7406,13.430314,-94.754745,190.46155,156.40312,0.1176,-1.0483,0.0693,-0.048,-1.256,1.041,23.257,-21.656,-10.963,45
0.6516,-0.3797,0.6011,-0.2638,16.858377,-54.520306,241.07257,188.20164,-0.6738,-0.8945,0.039,-0.003,0.358,-0.2,5.549,-29.987,11.849,48
0.3736,-0.4771,0.4805,-0.6339,17.702665,-104.993484,154.41722,177.65611,0.0429,-0.9326,0.0527,0.195,-0.092,-0.647,10.636,-11.537,-2.237,2
0.6482,-0.6923,0.1728,-0.2656,2.6676583,-95.02259,163.33607,166.68367,0.3154,-0.8603,-0.1406,0.39,-1.064,0.77,-9.639,13.067,14.314,20
0.111,-0.0796,0.6143,-0.7771,27.784979,-102.32118,181.17712,169.04738,-0.6064,-0.8647,0.1445,-0.459,-0.677,-1.044,-30.022,12.02,8.085,35
0.7227,-0.6688,0.1358,0.1089,13.896954,-79.16976,215.4982,214.8132,-0.4619,-1.123,0.1748,-0.3,0.069,0.021,-22.51,-14.378,-22.765,26
0.248,-0.1139,0.6181,-0.7371,11.489335,-93.1977,193.07901,151.56033,-0.2685,-1.268,0.166,-0.283,-0.229,0.063,-23.687,-11.687,19.499,33
0.2136,-0.3927,-0.5535,0.7026,16.961596,-105.67561,212.5979,158.35635,-0.0971,-0.7021,-0.0849,0.284,1.234,1.88,28.94,24.799,-25.847,12
0.5775,-0.4245,0.5353,-0.4467,17.974691,-75.9122,205.27399,174.32463,-0.0073,-0.5405,0.0039,-0.065,-0.143,0.889,21.662,31.539,-32.631,34
