q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.6669,-0.3307,0.625,-0.2345,20.986006,-47.36966,248.34294,186.8914,-0.7319,-0.79,0.1347,1.048,0.489,-0.767,29.849,10.063,0.449,48
0.6581,-0.3209,0.6306,-0.2569,22.166224,-48.346207,247.35307,184.58997,-0.7158,-0.7416,-0.0883,-0.732,-0.992,0.147,10.349,-0.887,4.949,48
0.4712,-0.5295,0.4596,-0.5349,2.936267,-97.63787,165.0516,177.7028,0.1049,-0.7045,0.0678,-0.079,0.854,1.448,-23.85,31.649,-15.137,2
0.2357,-0.1548,0.6307,-0.7229,19.421934,-94.00628,187.27455,161.76492,0.1875,-0.6528,0.4262,0.189,-1.326,-0.688,16.499,29.999,20.249,38
0.0491,0.0145,-0.5879,0.8072,1.9246181,-106.8861,172.90033,195.75604,0.041,-0.9653,0.3017,-0.023,-0.172,-0.142,-8.537,0.164,26.099,49
0.7563,-0.642,0.1121,-0.0556,24.60053,-80.07287,189.75731,185.85976,0.7905,-1.3618,0.1181,-0.015,-1.235,-1.809,-31.937,-13.487,17.249,17
0.4684,-0.4289,0.5203,-0.5707,2.1144059,-90.66396,179.77617,169.70305,0.207,-1.0004,0.0581,-0.079,-0.612,0.682,-22.95,0.313,-16.337,28
0.5017,-0.5438,-0.33,0.5861,16.36298,-101.87823,208.86043,215.25842,0.1137,-0.7304,0.0156,0.341,-0.96,1.864,-10.778,2.85,13.585,23
0.1795,-0.4504,-0.5277,0.6974,21.800533,-107.28366,225.86131,140.1917,-0.2509,-1.0922,-0.0952,-0.982,1.019,-0.037,28.64,14.149,-23.297,12
0.0191,-0.106,-0.6492,0.7528,13.156807,-98.16943,193.55571,165.2932,-0.3813,-0.9721,0.1137,0.76,1.845,-0.581,-15.737,2.863,-13.2,40
0.4684,-0.3615,0.5633,-0.5766,0.54637045,-84.83516,191.46686,165.88489,-0.1435,-0.9975,0.082,0.02,-0.075,-0.021,6.149,-17.237,-4.95,42
0.1915,-0.2483,-0.6558,0.6866,33.04785,-93.56186,190.09955,172.31445,0.0268,-1.0034,0.083,-0.609,-1.81,0.666,9.299,13.813,-4.35,40
0.3706,-0.3771,0.4286,-0.7325,14.33375,-106.4163,160.23761,142.22488,0.1191,-1.0761,0.4682,-0.162,-0.325,-0.179,-23.537,-13.487,-29.537,43
0.2306,-0.1261,0.6429,-0.7193,21.712605,-92.06159,191.51903,159.39429,-0.1899,-0.8759,0.4946,0.254,-1.056,-1.215,23.249,29.999,20.999,38
0.246,-0.2246,-0.5999,0.7273,10.427242,-98.61292,183.06606,191.99808,-0.0092,-1.3574,0.0683,0.287,-2.512,1.733,-32.237,-21.137,1.649,41
0.7177,-0.6746,0.172,0.0125,10.184139,-81.55711,208.71304,205.8509,-0.2192,-0.8823,-0.0742,0.074,0.067,0.297,6.149,10.063,-16.637,19
0.7417,-0.6412,0.1865,-0.0611,23.809013,-79.10948,200.29898,194.47244,0.1616,-0.8896,-0.1347,0.254,-0.047,0.352,-4.35,9.613,-10.337,17
0.4169,-0.3198,-0.5284,0.6668,6.1000814,-92.37423,178.69421,207.05931,0.1049,-0.978,0.0991,-0.368,0.768,-0.497,-16.429,17.523,-10.199,22
0.7868,-0.5925,0.1687,0.0357,17.019032,-69.76464,207.86432,202.37144,-0.2861,-1.2729,0.2197,-0.716,-0.288,-0.87,-21.137,-7.337,-5.55,37
0.5196,-0.4097,0.5184,-0.5414,17.58607,-84.52452,189.65341,165.41864,-0.1118,-1.1215,0.2221,0.006,-0.152,0.528,10.949,-14.837,-29.237,30
0.1951,-0.1533,0.6634,-0.7058,23.400812,-92.182144,184.53459,171.3883,-0.0039,-1.332,0.291,0.09,-0.841,0.181,3.299,31.649,20.999,38
0.7718,-0.4157,0.2574,-0.4064,53.895782,-63.06054,184.47406,145.32268,0.0922,-0.8559,0.4555,-0.492,1.116,-0.911,32.549,-17.687,21.599,39
0.3187,-0.169,0.6115,-0.7041,0.10563951,-89.26534,194.48161,151.43413,-0.1562,-0.9902,0.2001,0.008,-0.012,0.004,9.292,-20.082,25.317,45
0.5274,-0.4046,-0.5806,0.4699,12.758335,-76.624084,153.80522,182.40501,-0.1352,-1.1396,-0.0151,-0.169,0.521,-0.228,-26.535,18.417,12.819,16
0.677,-0.4794,0.5226,-0.1965,1.8823448,-59.94584,235.1644,198.25288,-0.5996,-0.8222,-0.1293,-0.128,-0.205,0.018,30.449,-26.537,0.299,48
0.3953,-0.3113,-0.5293,0.6829,33.413456,-94.36825,180.61739,207.10028,-0.1953,-0.9135,0.1733,0.731,-0.589,-1.475,2.249,-8.837,19.949,41
0.5253,-0.5952,-0.3016,0.5278,20.831259,-102.3518,211.37117,209.83377,-0.0224,-0.9843,0.1914,-0.203,0.769,-1.449,20.271,18.3,-5.464,23
0.3902,-0.2823,0.6891,-0.5413,16.113295,-75.20561,209.2231,176.9524,-0.3706,-0.9145,0.0126,-0.007,-0.345,-0.48,-11.337,-16.897,-9.981,34
0.6854,-0.7049,0.0497,0.1754,0.17298129,-87.324486,214.97598,216.39716,-0.3217,-0.9648,-0.0014,0.003,0,0.005,27.331,-14.84,25.643,26
0.2047,-0.0423,0.6692,-0.713,24.624874,-87.9313,201.9726,152.98453,-0.3813,-0.5087,0.0429,0.18,1.198,-0.945,-16.326,-14.526,-10.124,11
0.5011,-0.4091,-0.4564,0.6108,19.57226,-91.08973,183.88622,209.12836,-0.0654,-0.9877,0.2851,-0.407,-1.255,-0.624,-17.987,-18.437,29.849,46
0.6046,-0.5261,0.2975,-0.5186,38.549175,-89.0293,163.32834,141.84445,-0.0039,-1.2089,0.4545,-0.207,0.531,0.014,12.599,30.299,2.113,39
0.5319,-0.2549,-0.5241,0.6142,11.174484,-75.57144,159.02417,218.20259,0.1279,-0.9218,0.352,-0.321,-0.366,-0.456,23.099,-6.437,28.649,36
0.7279,-0.6373,0.1534,0.2008,14.963494,-71.216606,225.59264,227.57553,-0.4648,-1.0332,0.3125,0.047,0.46,-0.849,21.739,20.708,-25.915,26
0.6311,-0.4581,0.4469,-0.438,9.461267,-77.66882,195.70537,166.32652,0.0532,-0.9594,0.1118,0.207,-0.382,0.248,-3.9,-3.287,-29.237,32
0.7246,-0.4795,0.3856,-0.3102,14.30762,-69.368774,203.7546,173.22565,-0.0341,-0.7329,0.1044,0.331,-0.887,1.058,20.065,4.473,-12.624,44
0.4693,-0.397,0.4963,-0.6129,10.181891,-91.80602,177.99876,158.02046,0.1811,-0.9282,0.4013,-0.015,0.272,-0.533,-6.75,-30.737,2.549,42
0.1195,-0.3227,-0.5969,0.7246,63.73485,-101.4191,213.53513,148.06552,-0.6743,-1.1083,-0.0786,-1.05,-1.663,-0.445,-20.537,2.263,-28.337,29
0.4638,-0.3844,0.3879,-0.6975,4.88956,-95.87322,165.66814,128.99477,0.0976,-0.8354,0.2216,0.361,-1.142,0.509,-32.537,-22.037,-21.587,43
0.5544,-0.3334,0.4671,-0.6026,10.435926,-80.07601,189.89711,142.50922,0.0195,-1.0117,0.2758,-0.483,0.434,-0.937,5.549,20.999,2.549,47
0.6199,-0.5823,0.3517,-0.3909,38.34607,-88.760025,177.95148,171.5504,-0.1074,-1.4238,-0.0034,-0.135,-0.101,0.681,-24.6,20.549,-7.787,3
0.8007,-0.5924,0.0871,-0.0158,0.25463554,-72.40852,190.75638,186.87158,-0.1411,-0.9604,0.2753,-0.008,0.008,-0.033,31.049,0.013,-7.5,50
0.6896,-0.5967,0.275,-0.3042,9.608758,-83.67409,181.6386,170.52377,-0.2094,-0.9829,0.0087,-0.017,0.155,-0.432,25.349,-5.687,19.199,8
0.0775,0.0428,-0.5852,0.8059,5.997863,-105.007996,166.10979,208.19238,0.1035,-0.9379,0.3159,0.125,0.106,-0.265,-15.137,-1.037,31.499,49
0.2874,-0.1611,0.6083,-0.722,4.271613,-92.38586,191.06842,152.79915,-0.1879,-1.0039,0.1523,-0.074,0.337,0.391,7.792,-22.332,26.067,45
0.7585,-0.615,-0.1239,0.176,18.63112,-78.89469,182.69502,191.08113,-0.0649,-0.8105,0.3129,-0.102,0.673,-0.499,-24.566,-2.666,-8.351,15
0.3191,-0.1841,-0.6186,0.6939,47.191364,-89.03496,166.38231,205.02936,-0.102,-0.9472,0.081,0.685,0.597,-0.865,26.099,32.249,20.549,40
0.8205,-0.5373,0.1941,0.0147,13.8911705,-62.602257,207.87994,198.59023,-0.2304,-1.1948,0.3808,-0.207,0.661,-1.474,31.499,-1.187,0.149,50
0.0333,-0.0558,-0.6219,0.7803,20.47228,-102.929665,184.28716,177.42479,0.1005,-0.9311,0.5463,0.609,-0.568,-0.051,-12.67,11.404,-3.688,18
0.1897,-0.2181,-0.606,0.741,5.3117514,-101.13384,189.11836,182.3866,-0.0556,-1.0146,0.1655,0.154,-0.211,-0.107,23.849,25.363,4.499,41
0.7022,-0.7013,0.1002,-0.0699,3.2743008,-89.53001,184.9076,184.82257,0.0898,-0.8935,-0.02,0.153,-0.959,0.64,-16.65,-12.737,-6.887,19
0.3402,-0.3399,-0.5185,0.7069,5.975348,-102.07735,191.85188,198.96896,-0.1245,-0.996,0.1875,-0.01,0.032,-0.245,-8.329,2.387,-14.249,22
0.6501,-0.5078,0.3459,-0.4469,9.8586235,-82.33441,179.61955,156.07741,0.0483,-1.061,0.289,-0.154,0.692,-0.611,-10.35,8.263,-21.887,21
0.6414,-0.3226,0.6216,-0.3129,25.156954,-53.419777,240.62373,179.97617,-0.7895,-1.038,0.0947,-0.409,-0.515,0.142,7.349,7.499,31.649,48
0.1396,-0.2446,0.562,-0.7776,21.540707,-108.91896,159.69899,189.85568,0.1015,-1.2241,0.4492,0.403,1.843,-0.557,14.699,-13.337,27.599,25
0.0918,-0.2953,-0.6393,0.7039,57.383934,-95.25804,212.98143,146.84671,-0.6845,-1.2377,-0.1445,-1.53,-1.652,-0.683,-30.887,-21.137,-20.387,29
0.7138,-0.5422,0.2908,-0.3343,9.844822,-77.85192,184.85095,164.48077,0.0234,-1.0952,0.2558,-0.094,-0.661,0.255,26.399,-15.587,19.499,8
0.6253,-0.5229,0.3265,-0.4783,11.604895,-86.46626,171.52103,151.07224,0.0039,-1.145,0.2861,-0.104,-0.139,0.168,1.649,-21.137,-26.237,21
0.7621,-0.6043,0.082,-0.2172,33.630035,-77.233376,167.50223,157.66695,-0.3115,-1.0971,0.2202,0.005,1.46,-0.86,-19.187,-22.487,5.549,37
0.6241,-0.4688,0.4507,-0.4329,25.508749,-78.627014,195.46591,168.65126,-0.184,-0.8291,0.1372,-0.115,0.163,-0.567,-28.084,-3.476,16.325,44
0.7233,-0.6688,0.0892,0.1462,7.566317,-80.47325,213.1929,214.5957,-0.208,-1.1909,-0.1157,-0.226,-1.421,0.676,-0.91,-28.178,-30.415,26
0.5208,-0.4546,-0.4251,0.5841,26.413692,-92.37423,188.24506,207.5859,-0.2685,-0.8496,0.3051,-0.032,0.269,-0.055,16.649,15.164,-2.987,46
0.5606,-0.4129,0.4208,-0.5813,14.181648,-85.57398,179.2764,145.59323,-0.1132,-0.8906,0.4013,0.118,0.698,-0.393,9.016,26.745,-14.342,4
0.6434,-0.3262,0.6205,-0.3072,24.732265,-53.24428,240.93112,180.68192,-0.6831,-1.1528,0.1396,-0.215,-0.19,0.062,7.349,7.499,31.649,48
0.2252,-0.1202,-0.6028,0.7558,5.6738973,-97.208374,171.74106,206.5645,0.1889,-0.6616,0.2329,0.333,0.672,0.228,-9.407,-21.699,-23.157,18
0.4791,-0.4005,0.5388,-0.5653,12.483834,-87.04535,186.61569,167.91101,0.2924,-1.3115,0.1669,-0.227,0.143,-0.455,-3.3,18.599,-17.687,1
0.348,-0.5043,0.4463,-0.6521,20.503363,-111.05727,144.75562,179.33394,0.2309,-1.1669,0.164,-0.287,0.428,-0.112,8.536,19.349,4.813,2
0.3407,-0.1009,0.6475,-0.674,9.967705,-80.1097,209.95709,145.87643,-0.207,-0.914,0.0913,-0.058,0.647,0.102,12.557,23.546,-20.395,45
0.1499,-0.2079,-0.6106,0.7492,0.6383909,-102.0153,192.5575,175.75844,-0.1289,-0.9873,0.1733,-0.002,-0.024,-0.011,-21.587,-1.637,-16.35,41
0.4534,-0.5274,-0.3713,0.615,14.023957,-105.83435,209.92229,207.17845,-0.1503,-1.2509,0.2812,0.211,0.205,-0.724,11.721,22.5,-20.014,23
