q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.3115,-0.5459,0.4554,-0.6304,0.5151,-0.9975,-0.1303,1.103,-1.408,1.824,-23.55,30.149,-15.437,1
0.4489,-0.3958,0.539,-0.5926,0.0141,-1.227,0.1127,0.079,0.512,0.038,14.836,-16.337,5.563,1
0.4641,-0.4114,0.53,-0.5781,0.1694,-1.0375,-0.0498,0.001,-0.913,1.291,27.136,15.749,1.813,1
0.3042,-0.484,0.4815,-0.6642,0.4179,-0.9042,0.1318,-0.083,1.799,-1.439,-11.4,18.599,-11.837,1
0.4745,-0.3725,0.5463,-0.5809,0.0292,-1.142,0.0966,-0.052,0.98,-0.193,1.649,-26.837,28.049,1
0.4423,-0.3876,0.5514,-0.5915,0.1557,-1.0112,0.186,-0.286,2.457,-1.13,-3.3,18.599,-17.687,1
0.4121,-0.4286,0.5189,-0.614,0.2246,-0.9194,0.1674,0.184,-0.769,-1.172,21.436,-7.187,0.164,1
0.2793,-0.5147,0.4554,-0.6704,0.1909,-1.1884,0.122,-1.239,0.316,-1.296,10.186,21.449,10.813,1
0.4246,-0.4796,0.4767,-0.6019,0.1552,-1.0131,0.1157,0.092,0.136,-0.136,-7.65,-5.237,28.649,1
0.4115,-0.532,0.437,-0.597,0.4316,-0.7382,0.0327,0.712,2.075,2.69,-3.75,-26.087,-18.137,1
0.3444,-0.4729,0.5,-0.6384,0.3813,-0.7363,0.0698,-0.04,-0.465,-1.882,-11.4,18.599,-11.837,1
0.4399,-0.3848,0.5459,-0.6001,0.0415,-1.2495,0.1323,-0.131,1.001,0.022,26.386,-8.537,-4.787,1
0.2429,-0.4709,0.4818,-0.6978,0.0952,-1.1313,0.1181,-0.757,0.867,-0.735,-28.5,-17.987,-13.487,1
0.4212,-0.4892,0.4704,-0.6015,0.2216,-0.9418,0.1279,-0.024,0.397,0.379,-11.85,-7.037,29.849,1
0.3659,-0.4864,0.4809,-0.631,0.1918,-0.8339,0.0004,0.739,1.56,2.391,-31.05,8.549,-1.787,1
0.3983,-0.4634,0.4755,-0.6327,0.1513,-1.0205,0.1181,0.143,0.273,-0.657,21.436,-7.187,0.164,1
0.451,-0.4107,0.5309,-0.5881,0.0966,-1.1567,-0.0336,0.221,0.252,0.158,14.999,-11.687,-32.237,1
0.4158,-0.5189,0.4468,-0.5984,0.3896,-0.7143,0.02,0.509,2.211,2.673,-3.75,-26.087,-18.137,1
0.4026,-0.4628,0.4782,-0.6284,0.2021,-1.0043,0.123,0.223,0.205,-0.608,21.436,-7.187,0.164,1
0.3903,-0.3957,0.5649,-0.6098,0.0278,-1.0161,0.1582,-0.225,-0.312,-0.732,27.736,25.499,6.013,1
0.2528,-0.516,0.4756,-0.6659,0.4208,-0.8066,-0.1108,0.3,-2.653,-0.008,-28.2,-14.387,-12.137,1
0.4204,-0.3823,0.5551,-0.6072,-0.0014,-0.8867,0.2036,-0.4,-0.187,-0.476,26.386,-8.537,-4.787,1
0.394,-0.4018,0.5588,-0.609,0.1704,-1.1333,0.2309,-0.299,-0.148,-0.849,-14.85,-23.087,-20.387,1
0.4089,-0.43,0.5179,-0.6161,-0.0239,-1.0664,0.0229,-0.092,1.259,0.322,-1.2,-5.837,26.999,1
0.2329,-0.4637,0.4866,-0.7027,0.0634,-1.2568,0.122,-0.569,0.943,-1.282,-15.0,-31.937,-22.037,1
0.3395,-0.4585,0.5179,-0.6373,0.2646,-0.6752,0.0854,-0.077,-0.105,-1.546,-15.6,-17.237,-19.337,1
0.2021,-0.5002,0.4821,-0.6902,0.1601,-1.122,-0.1245,-0.321,-1.906,-0.268,-15.0,-31.937,-22.037,1
0.2602,-0.5245,0.4713,-0.6595,0.4584,-0.8247,-0.082,0.324,-2.787,0.075,-28.2,-14.387,-12.137,1
0.3744,-0.5447,0.4454,-0.6037,0.4213,-1.019,-0.0874,0.983,-0.516,1.852,0.436,28.199,24.463,1
0.4243,-0.4808,0.4813,-0.5974,0.1601,-1.0058,0.1201,0.213,-0.116,-0.105,-7.65,-5.237,28.649,1
0.4519,-0.388,0.5551,-0.5805,0.1147,-1.2612,-0.0415,-0.286,0.678,0.925,-27.75,32.249,-11.687,1
0.3801,-0.4136,0.553,-0.6152,-0.0009,-0.9453,0.0634,-0.054,-0.258,-1.255,-15.6,-17.237,-19.337,1
0.4577,-0.3919,0.5495,-0.5786,-0.0507,-1.081,-0.0175,0.056,-0.371,1.246,-1.05,27.449,-22.037,1
0.4391,-0.417,0.5302,-0.5934,-0.0917,-0.9516,-0.059,-0.036,1.237,2.119,-1.05,27.449,-22.037,1
0.2597,-0.587,0.4245,-0.6384,0.5903,-0.7998,-0.0063,0.726,-2.145,0.311,-3.75,-26.087,-18.137,1
0.4451,-0.3903,0.5415,-0.5968,0.0136,-1.1909,0.1079,0.183,0.895,-0.023,14.836,-16.337,5.563,1
0.4601,-0.4157,0.5181,-0.589,0.0346,-0.9135,-0.0981,0.237,-0.043,1.413,-8.55,-22.187,32.399,1
0.2237,-0.473,0.4905,-0.6968,-0.0322,-1.4389,-0.0805,-0.85,-0.324,-0.306,-28.5,-17.987,-13.487,1
0.4229,-0.478,0.4915,-0.5924,0.1328,-0.997,0.0556,0.009,0.025,-0.025,-7.8,-4.637,29.549,1
0.2774,-0.5932,0.4186,-0.6292,0.5395,-0.8422,-0.0541,0.945,-1.824,0.955,-3.75,-26.087,-18.137,1
0.3831,-0.4095,0.5558,-0.6136,0.0209,-1.0078,0.101,-0.152,0.118,-1.084,-15.6,-17.237,-19.337,1
0.4465,-0.4214,0.5278,-0.5867,0.1298,-1.1733,-0.0913,0.181,0.368,0.993,-10.8,-10.037,-23.687,1
0.4267,-0.3617,0.5605,-0.6105,-0.0625,-0.9985,0.1557,-0.028,2.207,-1.404,1.649,-26.837,28.049,1
0.3571,-0.5538,0.4424,-0.6082,0.4189,-0.9301,-0.0903,0.918,0.144,1.666,-2.114,14.399,20.863,1
0.3665,-0.383,0.5687,-0.6288,-0.0595,-1.0629,0.1474,-0.482,-0.388,-1.141,1.349,-28.187,-29.687,1
0.424,-0.4847,0.4857,-0.591,0.1484,-0.996,0.0458,0.004,0.052,0.001,-7.05,-5.087,29.849,1
0.4362,-0.4259,0.5229,-0.5957,-0.0673,-0.9541,-0.0454,-0.009,1.404,2.182,-1.05,27.449,-22.037,1
0.2333,-0.4918,0.4871,-0.6829,0.2812,-1.123,-0.103,0.044,-2.208,-0.002,-28.5,-17.987,-13.487,1
0.246,-0.5292,0.4724,-0.6604,0.4145,-0.7416,0.0361,0.618,-1.888,0.257,-13.5,-15.887,-23.837,1
0.4393,-0.4331,0.5176,-0.5927,0.2231,-1.1191,-0.102,-0.495,0.354,1.415,-10.8,-10.037,-23.687,1
0.3453,-0.5367,0.4561,-0.6201,0.5205,-0.9492,0.0024,1.161,-0.706,2.081,-23.55,30.149,-15.437,1
0.3028,-0.4655,0.4983,-0.6657,0.2919,-0.8696,0.0708,0.217,-0.147,-1.561,1.349,-28.187,-29.687,1
0.447,-0.4055,0.5379,-0.5884,0.1235,-1.0512,-0.038,0.031,0.299,1.446,-27.75,32.249,-11.687,1
0.2842,-0.476,0.4717,-0.6855,0.2133,-1.25,0.1518,-0.409,1.708,-0.982,-28.5,-17.987,-13.487,1
0.4943,-0.4004,0.5284,-0.5621,0.2314,-1.0297,0.0166,0.273,0.474,0.435,27.136,15.749,1.813,1
0.3908,-0.4673,0.4708,-0.638,0.1455,-1.0029,0.1181,-0.044,0.014,-0.83,21.436,-7.187,0.164,1
0.4827,-0.382,0.5375,-0.5762,0.0878,-1.1997,0.0766,-0.03,1.092,0.68,1.649,-26.837,28.049,1
0.3605,-0.4979,0.4747,-0.6298,0.2529,-0.8598,0.0209,0.823,1.396,2.443,-31.05,8.549,-1.787,1
0.4238,-0.4838,0.4755,-0.6001,0.229,-0.7099,0.0043,-0.012,1.93,2.23,-1.05,27.449,-22.037,1
0.3794,-0.4178,0.5333,-0.63,0.143,-1.3671,0.0429,0.093,-0.335,-0.499,2.849,-6.437,28.649,1
0.4196,-0.473,0.4844,-0.6044,0.0888,-0.9287,0.0307,0.023,0.607,0.471,-11.85,-7.037,29.849,1
0.4527,-0.4125,0.5285,-0.5877,0.1381,-1.0,-0.0312,-0.015,-0.85,1.462,27.136,15.749,1.813,1
0.178,-0.4563,0.4921,-0.7196,-0.0107,-1.0371,0.0395,-0.223,-0.534,-0.911,-19.05,13.649,-8.537,1
0.3079,-0.5106,0.456,-0.6605,0.4316,-1.0375,0.1962,0.087,0.895,-1.703,14.249,-16.337,-25.637,1
0.4162,-0.4161,0.532,-0.6086,0.1381,-0.9902,0.1699,0.331,-0.279,-0.948,26.386,-8.537,-4.787,1
0.3234,-0.5978,0.4107,-0.6076,0.5649,-0.8999,-0.2084,1.291,-2.099,1.747,-3.75,-26.087,-18.137,1
0.4496,-0.3812,0.5616,-0.5804,-0.0263,-1.2714,-0.0195,0.094,0.091,-0.154,-14.85,-23.087,-20.387,1
0.2393,-0.5245,0.4759,-0.6641,0.4589,-0.7954,0.0253,0.546,-1.841,0.166,-13.5,-15.887,-23.837,1
0.4414,-0.3883,0.5539,-0.5894,0.1943,-1.1059,0.2011,0.071,0.674,-0.693,-14.85,-23.087,-20.387,1
0.4871,-0.394,0.5336,-0.568,0.1816,-1.0703,0.0371,-0.031,0.976,-0.155,27.736,25.499,6.013,1
0.451,-0.4091,0.531,-0.5891,0.2153,-1.2114,0.0908,-0.051,-0.001,0.096,14.999,-11.687,-32.237,1
0.3399,-0.557,0.44,-0.6168,0.5581,-0.8222,-0.0712,1.075,-1.734,1.339,-28.2,-14.387,-12.137,1
0.4506,-0.4089,0.5323,-0.5884,0.2583,-1.2587,0.1538,-0.25,0.119,0.132,14.999,-11.687,-32.237,1
0.4442,-0.4327,0.504,-0.601,0.0419,-0.8481,-0.0307,-0.282,0.592,1.651,-8.55,-22.187,32.399,1
0.2887,-0.4788,0.4875,-0.6705,0.2734,-0.6943,0.0874,-0.042,-0.191,-1.116,-4.95,-8.087,32.099,1
0.3649,-0.3895,0.5655,-0.6285,-0.083,-1.0566,0.0786,-0.253,-0.929,-1.261,1.349,-28.187,-29.687,1
0.4485,-0.4082,0.5345,-0.5885,0.2993,-1.2739,0.2236,-0.366,0.528,-0.004,14.999,-11.687,-32.237,1
0.3799,-0.4129,0.5372,-0.6296,0.0141,-1.3911,-0.041,-0.004,-0.451,-0.52,-1.2,-5.837,26.999,1
0.4428,-0.3874,0.5434,-0.5987,0.0312,-1.228,0.1147,0.04,0.941,0.008,14.836,-16.337,5.563,1
0.4228,-0.4041,0.5463,-0.5994,0.1479,-0.9897,0.2182,-0.168,-0.42,-0.329,26.386,-8.537,-4.787,1
0.2681,-0.5907,0.4212,-0.6337,0.5751,-0.8334,-0.0161,0.839,-1.982,0.631,-3.75,-26.087,-18.137,1
0.3542,-0.5092,0.4688,-0.6287,0.3076,-0.893,0.0224,0.876,1.057,2.458,-31.05,8.549,-1.787,1
0.4466,-0.4136,0.5274,-0.5926,0.1132,-0.9897,-0.0141,0.04,-0.903,1.563,27.136,15.749,1.813,1
0.4646,-0.3718,0.5496,-0.5862,0.1103,-1.2226,0.1113,-0.275,0.517,-0.458,1.649,-26.837,28.049,1
0.3194,-0.5547,0.4456,-0.6257,0.602,-0.8476,-0.017,1.084,-1.999,1.123,-28.2,-14.387,-12.137,1
0.3867,-0.4476,0.5028,-0.6301,0.0278,-0.8662,-0.0649,0.37,0.668,2.147,27.136,15.749,1.813,1
0.4229,-0.4809,0.4852,-0.5952,0.142,-0.999,0.0869,0.075,0.155,-0.044,-7.05,-5.087,29.849,1
0.3353,-0.5623,0.4411,-0.6137,0.5009,-0.8046,-0.2026,1.665,-2.805,1.343,-13.5,-15.887,-23.837,1
0.3959,-0.4641,0.474,-0.6348,0.1425,-1.0117,0.1254,0.107,0.21,-0.738,21.436,-7.187,0.164,1
0.2581,-0.4609,0.4887,-0.6942,0.1572,-1.0957,0.1318,-0.476,3.14,-1.285,-19.05,13.649,-8.537,1
0.4217,-0.4944,0.4663,-0.6001,0.2719,-0.6796,-0.0019,0.147,2.125,2.386,-1.05,27.449,-22.037,1
0.2554,-0.4712,0.4782,-0.6956,0.0703,-1.1958,0.0493,-0.682,0.87,-0.841,-28.5,-17.987,-13.487,1
0.4223,-0.4799,0.4853,-0.5963,0.1386,-0.9824,0.0756,0.044,0.138,-0.027,-7.05,-5.087,29.849,1
0.4507,-0.4123,0.5306,-0.5874,0.0781,-1.1542,-0.0551,0.276,0.295,0.363,-10.8,-10.037,-23.687,1
0.3934,-0.4654,0.4724,-0.6366,0.1367,-1.0107,0.1264,0.039,0.12,-0.797,21.436,-7.187,0.164,1
0.3883,-0.4807,0.4758,-0.6258,0.0268,-1.018,0.0322,-0.089,-0.392,-0.166,-9.9,-5.237,28.199,1
0.2717,-0.5425,0.4628,-0.6461,0.4008,-0.7373,-0.0302,0.707,-2.256,0.841,-13.5,-15.887,-23.837,1
0.4555,-0.4147,0.5163,-0.5948,0.0454,-0.9697,0.0312,0.108,1.282,1.02,14.836,-16.337,5.563,1
0.3374,-0.4846,0.4642,-0.66,0.2084,-0.9868,0.0781,-0.035,0.148,-1.631,10.186,21.449,10.813,1
0.406,-0.4618,0.482,-0.624,0.2543,-0.9555,0.1591,0.318,-0.072,-0.726,21.436,-7.187,0.164,1
0.4236,-0.4835,0.4862,-0.5918,0.1606,-1.0073,0.0703,0.042,0.025,0.008,-7.05,-5.087,29.849,1
0.3724,-0.4398,0.5402,-0.6131,0.2543,-0.6376,0.0258,0.066,0.791,-1.513,14.249,-16.337,-25.637,1
0.2571,-0.521,0.4602,-0.6711,0.1938,-1.1542,0.0747,-0.989,0.626,-0.982,10.186,21.449,10.813,1
0.2716,-0.5175,0.4571,-0.6703,0.1923,-1.1801,0.0751,-1.227,0.419,-1.152,10.186,21.449,10.813,1
0.3698,-0.5159,0.4622,-0.6191,0.392,-0.7709,0.0883,1.053,0.697,1.922,-23.55,30.149,-15.437,1
0.4237,-0.4827,0.4857,-0.5928,0.1606,-1.0092,0.0742,0.098,0.06,-0.038,-7.05,-5.087,29.849,1
0.3249,-0.5044,0.4685,-0.6483,0.416,-0.9096,0.0791,0.291,-0.466,-1.544,14.249,-16.337,-25.637,1
0.4248,-0.4805,0.4893,-0.5908,0.1582,-1.0,0.0551,0.011,-0.098,-0.011,-6.15,-5.687,28.649,1
0.3317,-0.488,0.4611,-0.6627,0.2031,-1.0424,0.1,-0.121,0.129,-1.659,10.186,21.449,10.813,1
0.4453,-0.4023,0.5418,-0.5883,-0.1455,-0.9355,-0.0659,0.014,0.695,1.758,-1.05,27.449,-22.037,1
0.3736,-0.4771,0.4805,-0.6339,0.0429,-0.9326,0.0527,0.195,-0.092,-0.647,10.636,-11.537,-2.237,2
0.4443,-0.5388,0.4459,-0.5596,0.1796,-0.6508,0.0102,0.124,0.156,1.157,-11.4,-7.187,-20.237,2
0.4866,-0.5177,0.4462,-0.544,0.125,-1.0063,0.0668,0.006,0.019,0.011,-1.2,-3.587,28.049,2
0.5133,-0.4612,0.5134,-0.5098,0.0175,-1.2841,-0.0444,-0.219,1.381,1.04,3.299,25.199,-19.037,2
0.3288,-0.4918,0.4623,-0.6604,0.1733,-1.3818,0.0937,-0.285,0.534,0.026,-19.2,14.699,-8.687,2
0.4868,-0.5182,0.4457,-0.5437,0.1279,-1.0024,0.0771,-0.001,0.009,0.004,-1.2,-3.587,28.049,2
0.4512,-0.5212,0.4656,-0.5547,0.1396,-0.7177,-0.0302,0.408,-0.966,1.12,4.499,-30.287,-20.087,2
0.476,-0.5347,0.4303,-0.5496,0.4877,-0.7143,0.1684,-0.012,0.673,0.233,-1.05,-5.237,28.199,2
0.5007,-0.5051,0.4675,-0.5248,0.2001,-1.0917,-0.0185,-0.163,0.314,-0.004,28.336,9.914,-6.587,2
0.3381,-0.5052,0.4524,-0.6523,0.2036,-1.2514,0.0043,-0.398,-0.162,-0.109,2.699,-18.887,-18.587,2
0.4901,-0.5081,0.4595,-0.5389,0.2915,-0.934,0.0229,-0.029,-0.418,0.43,18.286,1.063,-0.437,2
0.4707,-0.5152,0.469,-0.5412,0.1289,-0.9902,-0.0141,-0.088,0.366,-0.36,29.686,9.013,-3.737,2
0.4667,-0.5053,0.4799,-0.5444,0.0454,-0.8339,-0.0419,0.195,-0.424,0.95,4.186,26.999,11.113,2
0.4176,-0.5261,0.4501,-0.5882,0.3725,-0.9111,0.0927,-0.113,-0.453,1.468,-30.6,14.249,-1.187,2
0.5304,-0.5175,0.4512,-0.497,0.1533,-0.7929,-0.0898,0.651,-0.007,1.482,-0.9,-21.887,-31.637,2
0.4777,-0.5293,0.4394,-0.5462,0.3144,-1.2006,0.018,-0.15,0.0,-0.418,-1.05,-5.237,28.199,2
0.3595,-0.5048,0.4463,-0.6454,0.2812,-1.3242,0.0961,-0.045,0.315,-0.605,6.899,-15.137,-22.037,2
0.4763,-0.4948,0.4909,-0.5359,0.4926,-1.0244,0.0957,0.14,0.76,-0.079,13.499,-12.437,-27.137,2
0.3786,-0.4745,0.4857,-0.6288,-0.0244,-0.9062,0.0175,0.142,0.476,-0.745,10.636,-11.537,-2.237,2
0.4387,-0.5149,0.4754,-0.5624,0.0991,-0.7944,-0.0341,0.175,0.921,-1.669,-16.05,-14.387,-17.237,2
0.3796,-0.5348,0.4278,-0.6218,0.31,-1.2485,0.1152,-0.227,0.136,-0.135,-4.2,-11.237,31.649,2
0.4934,-0.4558,0.5299,-0.5175,-0.0209,-1.2695,0.0185,-0.033,0.194,-0.175,29.686,19.649,2.563,2
0.4788,-0.5261,0.4361,-0.551,0.061,-1.121,0.039,0.107,-0.004,0.257,-6.3,-4.637,31.049,2
0.3827,-0.5221,0.428,-0.6305,0.3056,-1.1855,0.1499,-0.133,0.311,-0.56,-16.8,-29.387,-19.487,2
0.3619,-0.5489,0.4239,-0.6227,0.3291,-0.9023,0.1088,0.237,-1.105,0.467,-27.0,-11.537,-15.287,2
0.4123,-0.5268,0.4394,-0.5994,0.2104,-0.8354,0.1904,-0.021,0.776,-0.661,-4.2,-11.237,31.649,2
0.3599,-0.5204,0.4481,-0.6314,0.3359,-0.9858,-0.0141,0.28,-1.388,0.861,-19.2,14.699,-8.687,2
0.3924,-0.4783,0.4878,-0.6157,0.0947,-0.9394,0.0805,0.189,0.929,-0.743,19.186,-7.487,3.013,2
0.3704,-0.5359,0.445,-0.6143,0.0913,-0.7695,0.0502,-0.098,-0.466,0.268,-5.85,-12.137,-31.487,2
0.4762,-0.5114,0.4795,-0.5306,0.3901,-0.9819,0.206,-0.221,0.789,-1.202,-16.05,-14.387,-17.237,2
0.3401,-0.5031,0.4503,-0.6544,0.1376,-1.4355,0.0126,-0.436,0.186,0.011,6.899,-15.137,-22.037,2
0.3761,-0.5141,0.4412,-0.632,0.0795,-1.0087,-0.0024,0.148,0.159,-1.019,-26.25,-16.187,-16.337,2
0.474,-0.5124,0.4536,-0.5538,0.0366,-0.9956,0.1381,-0.022,0.145,-0.196,-1.35,-4.487,27.149,2
0.4698,-0.4879,0.5007,-0.5389,0.4008,-0.8076,0.0991,0.22,-0.673,-0.935,12.449,-7.937,32.549,2
0.542,-0.4898,0.4765,-0.4889,0.1586,-0.8837,-0.0307,0.104,0.723,1.304,-21.75,-27.287,-14.537,2
0.478,-0.4969,0.4897,-0.5335,0.5126,-1.1054,0.0708,0.16,0.207,0.086,13.499,-12.437,-27.137,2
0.4696,-0.5347,0.4537,-0.5362,0.1777,-0.7338,0.0869,-0.216,1.131,1.608,-23.85,31.649,-15.137,2
0.5074,-0.4743,0.4962,-0.5208,0.1088,-1.1728,-0.0244,-0.145,1.442,1.112,-11.4,-7.187,-20.237,2
0.4217,-0.524,0.4537,-0.5844,0.3442,-0.8745,0.0932,-0.196,-0.246,1.472,-30.6,14.249,-1.187,2
0.4723,-0.4837,0.5071,-0.5344,0.1962,-1.0976,0.1376,-0.057,-0.085,-0.637,3.299,25.199,-19.037,2
0.4867,-0.5181,0.4458,-0.5438,0.1362,-1.0048,0.0722,-0.004,0.012,0.002,-1.2,-3.587,28.049,2
0.4131,-0.4796,0.5005,-0.5905,0.041,-0.8964,0.0195,0.297,0.512,-0.964,19.186,-7.487,3.013,2
0.3657,-0.5335,0.4304,-0.6294,0.2114,-1.249,-0.0175,-0.172,-1.175,-0.118,-16.8,-29.387,-19.487,2
0.4583,-0.5309,0.4356,-0.564,0.2021,-1.0751,0.0571,-0.123,0.341,-0.472,-5.25,-3.587,29.099,2
0.3361,-0.4941,0.4588,-0.6575,0.2641,-1.2504,0.145,-0.071,-0.094,-0.323,-13.05,19.949,-11.237,2
0.4723,-0.4942,0.4924,-0.5386,0.4228,-0.9458,0.1733,0.146,-0.94,-0.271,12.449,-7.937,32.549,2
0.4059,-0.4815,0.4927,-0.6004,0.1362,-0.9282,0.0996,0.362,0.283,-0.889,19.186,-7.487,3.013,2
0.3998,-0.5585,0.4189,-0.5938,0.4545,-1.0146,-0.1796,0.363,-1.556,1.044,-27.0,-11.537,-15.287,2
0.3443,-0.5028,0.4493,-0.6531,0.1845,-1.2031,0.1518,-0.29,0.406,-0.014,8.536,19.349,4.813,2
0.4773,-0.522,0.4663,-0.5311,0.0253,-0.7138,0.0336,0.215,0.02,1.192,-23.85,31.649,-15.137,2
0.4664,-0.4882,0.5026,-0.5397,0.3217,-1.0434,-0.0458,0.343,-0.642,-0.366,28.036,-6.437,-2.837,2
0.3749,-0.5337,0.4318,-0.6228,0.29,-1.2412,0.1518,-0.326,0.452,0.008,-5.85,-12.137,-31.487,2
0.3443,-0.5285,0.436,-0.6418,0.1044,-1.457,-0.0117,-0.44,-0.24,0.156,-26.25,-16.187,-16.337,2
0.461,-0.4946,0.4885,-0.5513,0.4277,-1.0107,0.0249,0.472,-0.169,-0.424,26.986,24.449,4.513,2
0.3652,-0.5289,0.4461,-0.6226,0.2797,-1.0039,-0.2011,0.245,-2.053,0.869,2.699,-18.887,-18.587,2
0.3391,-0.5038,0.4517,-0.6534,0.1464,-1.375,-0.0058,-0.443,-0.001,0.019,6.899,-15.137,-22.037,2
0.3593,-0.5194,0.4459,-0.6341,0.3339,-0.9038,0.1723,0.215,-1.392,-0.007,8.536,19.349,4.813,2
0.4868,-0.5172,0.4465,-0.544,0.1259,-1.0043,0.0668,0.001,-0.006,0.007,-0.9,-5.087,26.699,2
0.4662,-0.5531,0.4297,-0.5403,0.4331,-0.8349,0.1796,-0.336,1.029,1.866,-23.85,31.649,-15.137,2
0.3808,-0.4987,0.4648,-0.6245,0.0913,-0.894,0.0122,0.292,0.398,-0.755,6.899,-15.137,-22.037,2
0.4998,-0.5031,0.4718,-0.5237,0.2705,-0.7885,-0.0102,0.398,-0.838,0.93,16.186,-20.387,6.914,2
0.452,-0.5146,0.4729,-0.5541,0.1206,-1.0361,0.0375,-0.208,0.712,-0.449,29.686,9.013,-3.737,2
0.5032,-0.5072,0.4631,-0.5243,0.2011,-1.0952,-0.0878,-0.136,0.308,0.417,28.336,9.914,-6.587,2
0.3681,-0.5384,0.427,-0.6261,0.288,-1.0986,0.0258,0.05,-1.467,-0.247,-16.8,-29.387,-19.487,2
0.3437,-0.513,0.453,-0.6428,0.3896,-0.8911,0.1601,0.205,-1.491,0.024,-19.2,14.699,-8.687,2
0.4769,-0.5148,0.4695,-0.5357,0.142,-0.9863,0.0102,0.019,0.069,-0.25,29.686,9.013,-3.737,2
0.5037,-0.462,0.5096,-0.5224,-0.0107,-1.27,-0.0224,-0.18,1.676,0.942,12.449,-7.937,32.549,2
0.4762,-0.4752,0.5135,-0.5326,0.1279,-1.0253,0.0898,-0.179,-0.083,-1.533,12.449,-7.937,32.549,2
0.4792,-0.5281,0.4401,-0.5456,0.2421,-1.2368,0.0043,-0.172,0.059,-0.282,-1.05,-5.237,28.199,2
0.4759,-0.515,0.4691,-0.5368,0.1342,-0.9848,0.0043,0.037,0.156,-0.278,29.686,9.013,-3.737,2
0.3854,-0.5122,0.4473,-0.6236,-0.0029,-0.9321,-0.0097,0.209,0.703,-0.873,-26.25,-16.187,-16.337,2
0.5157,-0.4773,0.4948,-0.5111,0.1503,-1.0292,-0.0551,-0.127,1.053,1.227,4.499,-30.287,-20.087,2
0.4813,-0.5275,0.4379,-0.546,0.184,-1.33,-0.062,-0.044,-0.15,0.215,-1.05,-5.237,28.199,2
0.39,-0.5002,0.4691,-0.6144,0.121,-0.8198,0.0693,0.135,0.902,-0.841,13.499,-12.437,-27.137,2
0.4096,-0.5,0.474,-0.5978,0.0751,-0.8085,0.0302,0.356,0.361,-1.344,26.986,24.449,4.513,2
0.5029,-0.51,0.459,-0.5255,0.2563,-1.0327,-0.0874,-0.076,0.211,0.361,28.336,9.914,-6.587,2
0.3808,-0.5345,0.4272,-0.6217,0.2836,-1.25,0.0893,-0.193,0.123,-0.18,-4.2,-11.237,31.649,2
0.3763,-0.4749,0.4843,-0.6309,-0.0004,-0.9179,0.0371,0.162,0.255,-0.72,10.636,-11.537,-2.237,2
0.4676,-0.4894,0.4996,-0.5404,0.3725,-1.0356,0.0156,0.424,-0.467,-0.357,28.036,-6.437,-2.837,2
0.4196,-0.5618,0.4176,-0.5777,0.4941,-1.0058,0.0283,0.202,-1.14,1.128,-27.0,-11.537,-15.287,2
0.4648,-0.4834,0.5091,-0.5393,0.207,-1.0024,-0.0063,0.036,-0.592,-0.64,28.036,-6.437,-2.837,2
0.353,-0.485,0.4729,-0.6452,-0.0546,-0.9667,0.0288,0.121,1.057,-0.803,-13.05,19.949,-11.237,2
0.4284,-0.5596,0.4209,-0.5709,0.4707,-0.893,0.1323,0.015,-0.292,1.219,-27.0,-11.537,-15.287,2
0.472,-0.5153,0.4498,-0.5561,0.06,-0.9541,0.1088,0.029,-0.147,-0.322,-0.6,-3.287,27.899,2
